"group","VPNr","Alter","Geschlecht","Haendigkeit","Sehschwaeche","Farbfehlsichtigkeit","Hoerschwaeche","Fuehrerschein","Fahrtfrequenz","Fahrtstrecke","FrequenzAutobahn","StreckeAutobahn","KenntnisAS.CC.","KenntnisAS.ACC.","KenntnisAS.Spurhalte.","KenntnisAS.Stauassistent.","KenntnisAS.ParkAssist.","KenntnisAS.Teilautomation.","DSQ_Speed","DSQ_Calmness","DSQ_SocialResistance","DSQ_Focus","DSQ_Planning","DSQ_Deviance","ATIS","TempomatAutomarke.KeinSystem.","TempomatAutomarke.VW.","TempomatAutomarke.Opel.","TempomatAutomarke.Mercedes.","TempomatAutomarke.Ford.","TempomatAutomarke.BMW.","TempomatAutomarke.Audi.","TempomatAutomarke.Skoda.","TempomatAutomarke.Renault.","TempomatAutomarke.Toyota.","TempomatAutomarke.Seat.","TempomatAutomarke.Hyundai.","TempomatAutomarke.Fiat.","TempomatAutomarke.Nissan.","TempomatAutomarke.Peugeot.","TempomatAutomarke.Mazda.","TempomatAutomarke.Kia.","TempomatAutomarke.Dacia.","TempomatAutomarke.Citroen.","TempomatAutomarke.Volvo.","TempomatAutomarke.Mitsubishi.","TempomatAutomarke.Tesla.","TempomatAutomarke.other.","ACCAutomarke.KeinSystem.","ACCAutomarke.VW.","ACCAutomarke.Opel.","ACCAutomarke.Mercedes.","ACCAutomarke.Ford.","ACCAutomarke.BMW.","ACCAutomarke.Audi.","ACCAutomarke.Skoda.","ACCAutomarke.Renault.","ACCAutomarke.Toyota.","ACCAutomarke.Seat.","ACCAutomarke.Hyundai.","ACCAutomarke.Fiat.","ACCAutomarke.Nissan.","ACCAutomarke.Peugeot.","ACCAutomarke.Mazda.","ACCAutomarke.Kia.","ACCAutomarke.Dacia.","ACCAutomarke.Citroen.","ACCAutomarke.Volvo.","ACCAutomarke.Mitsubishi.","ACCAutomarke.Tesla.","ACCAutomarke.other.","SpurhalteAutomarke.KeinSystem.","SpurhalteAutomarke.VW.","SpurhalteAutomarke.Opel.","SpurhalteAutomarke.Mercedes.","SpurhalteAutomarke.Ford.","SpurhalteAutomarke.BMW.","SpurhalteAutomarke.Audi.","SpurhalteAutomarke.Skoda.","SpurhalteAutomarke.Renault.","SpurhalteAutomarke.Toyota.","SpurhalteAutomarke.Seat.","SpurhalteAutomarke.Hyundai.","SpurhalteAutomarke.Fiat.","SpurhalteAutomarke.Nissan.","SpurhalteAutomarke.Peugeot.","SpurhalteAutomarke.Mazda.","SpurhalteAutomarke.Kia.","SpurhalteAutomarke.Dacia.","SpurhalteAutomarke.Citroen.","SpurhalteAutomarke.Volvo.","SpurhalteAutomarke.Mitsubishi.","SpurhalteAutomarke.Tesla.","SpurhalteAutomarke.other.","StauassAutomarke.KeinSystem.","StauassAutomarke.VW.","StauassAutomarke.Opel.","StauassAutomarke.Mercedes.","StauassAutomarke.Ford.","StauassAutomarke.BMW.","StauassAutomarke.Audi.","StauassAutomarke.Skoda.","StauassAutomarke.Renault.","StauassAutomarke.Toyota.","StauassAutomarke.Seat.","StauassAutomarke.Hyundai.","StauassAutomarke.Fiat.","StauassAutomarke.Nissan.","StauassAutomarke.Peugeot.","StauassAutomarke.Mazda.","StauassAutomarke.Kia.","StauassAutomarke.Dacia.","StauassAutomarke.Citroen.","StauassAutomarke.Volvo.","StauassAutomarke.Mitsubishi.","StauassAutomarke.Tesla.","StauassAutomarke.other.","ParkAssistAutomarke.KeinSystem.","ParkAssistAutomarke.VW.","ParkAssistAutomarke.Opel.","ParkAssistAutomarke.Mercedes.","ParkAssistAutomarke.Ford.","ParkAssistAutomarke.BMW.","ParkAssistAutomarke.Audi.","ParkAssistAutomarke.Skoda.","ParkAssistAutomarke.Renault.","ParkAssistAutomarke.Toyota.","ParkAssistAutomarke.Seat.","ParkAssistAutomarke.Hyundai.","ParkAssistAutomarke.Fiat.","ParkAssistAutomarke.Nissan.","ParkAssistAutomarke.Peugeot.","ParkAssistAutomarke.Mazda.","ParkAssistAutomarke.Kia.","ParkAssistAutomarke.Dacia.","ParkAssistAutomarke.Citroen.","ParkAssistAutomarke.Volvo.","ParkAssistAutomarke.Mitsubishi.","ParkAssistAutomarke.Tesla.","ParkAssistAutomarke.other.","AutomationAutomarke.KeinSystem.","AutomationAutomarke.VW.","AutomationAutomarke.Opel.","AutomationAutomarke.Mercedes.","AutomationAutomarke.Ford.","AutomationAutomarke.BMW.","AutomationAutomarke.Audi.","AutomationAutomarke.Skoda.","AutomationAutomarke.Renault.","AutomationAutomarke.Toyota.","AutomationAutomarke.Seat.","AutomationAutomarke.Hyundai.","AutomationAutomarke.Fiat.","AutomationAutomarke.Nissan.","AutomationAutomarke.Peugeot.","AutomationAutomarke.Mazda.","AutomationAutomarke.Kia.","AutomationAutomarke.Dacia.","AutomationAutomarke.Citroen.","AutomationAutomarke.Volvo.","AutomationAutomarke.Mitsubishi.","AutomationAutomarke.Tesla.","AutomationAutomarke.other.","Fahrstil.DSQ1.","Fahrstil.DSQ2.","Fahrstil.DSQ3.","Fahrstil.DSQ4.","Fahrstil.DSQ5.","Fahrstil.DSQ6.","Fahrstil.DSQ7.","Fahrstil.DSQ8.","Fahrstil.DSQ9.","Fahrstil.DSQ10.","Fahrstil.DSQ11.","Fahrstil.DSQ12.","Fahrstil.DSQ13.","Fahrstil.DSQ14.","Fahrstil.DSQ15.","Technikaffinitaet.ATIS1.","Technikaffinitaet.ATIS2.","Technikaffinitaet.ATIS3.","Technikaffinitaet.ATIS4.","Technikaffinitaet.ATIS5.","Technikaffinitaet.ATIS6.","Technikaffinitaet.ATIS7.","Technikaffinitaet.ATIS8.","Technikaffinitaet.ATIS9."
"L0",24,60,0,0,0,0,0,1980,3,3,2,2,2,0,0,0,0,0,8,12,7,13,10,7,3.6666666666666665,"","","","","","","","","","","","","","","","","",NA,"","","","","War ein Mietwagen in den USA, weiss die Marke nicht mehr","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",3,3,2,3,4,3,3,3,6,4,3,1,4,5,2,4,4,4,4,5,3,4,2,3
"L0",25,26,0,0,1,0,0,2013,2,1,1,1,1,0,0,0,1,0,7,13,5,14,5,5,3.888888888888889,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,3,2,3,4,2,3,1,5,4,5,3,1,4,1,4,3,5,3,4,5,5,4,2
"L0",30,25,1,0,0,0,0,2014,4,2,3,2,3,3,3,2,1,3,8,12,6,11,3,8,3.2222222222222223,"","","Y","Y","","","","","","","","Y","Y","","","","",NA,"","","","","","","","","","Y","","","","","","","Y","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","","","","","Y","","","","","","","Y","","","","","",NA,"","","","","",2,4,2,3,4,3,3,2,5,4,2,5,1,5,3,2,4,5,3,3,3,2,3,4
"L0",32,26,0,0,0,0,0,2014,3,2,3,2,3,1,1,0,1,0,10,15,9,11,5,3,5.222222222222222,"","Y","","","","Y","Y","","","","","Y","Y","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,4,4,2,5,2,1,3,5,4,2,4,2,1,2,6,5,5,5,5,5,6,5,5
"L0",33,25,1,0,1,0,0,2015,3,2,3,2,2,1,1,1,1,1,6,12,6,10,5,6,4.333333333333333,"","Y","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,4,1,3,4,3,3,2,4,4,2,3,1,5,1,4,4,4,5,4,4,5,4,5
"L0",35,24,1,0,1,0,0,2014,2,2,1,1,3,1,1,1,1,1,5,11,6,15,6,9,3.7777777777777777,"","","","","","","","Y","","","Y","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,3,1,4,3,2,4,3,4,5,6,4,3,5,4,3,5,3,5,4,2,4,4,4
"L0",38,49,1,0,1,0,0,1992,2,2,2,2,2,1,1,1,1,1,11,10,6,14,7,8,3.4444444444444446,"","","Y","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",3,4,4,4,4,4,3,2,4,5,5,4,4,5,3,3,4,3,4,3,4,4,3,3
"L0",40,39,1,0,0,0,0,2002,0,0,0,0,1,1,1,1,1,1,3,10,6,10,8,3,3,"","Y","","","","Y","","","","","","","","","","","",NA,"Y","","","","Mini","","","","","","Y","","","","","","","","","","","",NA,"Y","","","","Mini","","","","","","","","","","","","","","","","","",NA,"Y","","","","","","Y","","","","","","","","","","","","","","","",NA,"Y","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","Mini","","","","","","","","","","","","","","","","","",NA,"Y","","","","Mini",1,1,1,4,4,4,4,3,4,3,3,1,2,2,1,3,4,3,3,3,3,3,2,3
"L2 H-on",47,46,0,0,1,0,0,1995,3,2,2,2,1,1,1,0,1,0,14,16,8,14,8,7,3.111111111111111,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",5,5,4,2,6,2,3,4,5,6,3,1,2,6,1,3,4,2,4,3,3,4,2,3
"L2 H-off",48,23,0,0,1,0,0,2015,3,2,2,2,2,2,2,2,2,1,10,12,5,14,4,4,5.444444444444445,"","Y","","Y","","","","","","","","Y","","","","","",NA,"","","","","","","Y","","Y","","","","","","","","Y","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","",3,4,3,3,4,3,3,1,4,4,6,6,3,3,1,6,6,6,5,6,5,6,4,5
"L2 H-on",49,28,0,0,0,0,0,2011,2,2,2,1,3,2,1,0,1,1,5,12,6,14,11,5,5.333333333333333,"","","Y","Y","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,2,2,3,3,2,3,2,5,5,4,1,5,4,1,4,6,5,6,6,5,5,5,6
"L0",50,24,0,0,0,0,0,2015,1,1,1,1,2,2,3,1,1,2,12,13,2,15,10,8,5.666666666666667,"","","","Y","","","Y","","","","","Y","","","","Y","",NA,"","","","","","","","","Y","","","Y","","","","","Y","","","","","",NA,"","","","","","","","","","","","Y","","","","","Y","","","","Y","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","Y","","","","","",NA,"","","","","",5,6,1,2,5,4,6,1,4,5,6,1,4,6,2,6,6,6,5,6,5,6,5,6
"L2 H-on",51,49,0,0,1,0,0,1991,3,3,2,3,3,1,1,1,1,0,13,17,8,12,12,7,1.8888888888888888,"","","","","","","Y","","","","","","","","","","",NA,"","Y","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",4,5,4,2,6,1,1,2,6,5,1,1,6,5,2,1,3,2,3,2,2,1,1,2
"L2 H-on",52,56,0,0,0,0,0,1984,4,3,4,2,0,0,0,0,0,0,3,17,7,18,9,6,2.7777777777777777,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,1,1,1,6,2,2,2,6,6,6,1,3,4,2,4,3,2,2,2,4,4,2,2
"L2 H-off",53,22,1,0,0,0,0,2017,3,1,2,1,2,1,1,1,1,1,10,8,10,12,7,7,2,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",3,4,3,4,2,4,2,5,5,4,3,3,3,5,2,2,2,2,2,2,2,2,2,2
"L2 H-off",54,23,0,0,0,0,0,2016,4,2,2,1,2,2,2,3,2,2,10,13,7,15,5,8,5,"","Y","Y","Y","Y","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","",4,4,2,2,5,4,2,2,5,5,5,3,1,6,2,6,6,5,5,5,4,5,4,5
"L2 H-off",55,26,1,0,1,0,0,2013,2,2,1,1,1,1,2,1,1,1,5,15,4,13,7,6,2.7777777777777777,"","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","",1,3,1,1,4,2,4,1,5,5,3,2,2,5,1,2,4,3,4,2,2,2,2,4
"L2 H-on",56,28,1,1,0,0,0,2012,0,0,0,0,1,1,1,1,1,0,6,8,9,12,8,3,3.3333333333333335,"","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,2,2,4,2,4,2,4,5,3,4,3,4,2,1,3,4,4,4,4,3,2,3,3
"L2 H-off",57,46,0,0,0,0,0,1994,3,2,3,2,3,2,1,0,1,1,13,15,7,12,9,8,4.888888888888889,"","","Y","Y","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",4,4,5,3,5,1,3,3,4,5,3,2,4,5,3,5,6,5,5,5,4,5,4,5
"L2 H-off",58,24,0,0,0,0,0,2015,3,1,2,1,3,2,3,1,3,1,12,14,6,13,7,6,5.444444444444445,"","Y","","","","","","","","","","","","","","","",NA,"","Y","","","","","","","","Y","","","","","","","","","","","","",NA,"","","","","","","","","","Y","","","","","","","","","","","","",NA,"","Y","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","Y","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",5,5,2,2,4,2,4,3,4,5,4,2,2,5,1,6,6,5,5,5,5,6,5,6
"L2 H-off",59,27,0,0,1,0,0,2013,2,2,2,2,2,2,2,2,1,2,7,16,6,14,8,5,4.111111111111111,"","Y","","","","Y","","","","","","","","","","","",NA,"","","","Y","","","","","","","","","","","","","","","","","","",NA,"","","","Y","","","","","","","","","","","","","","","","","","",NA,"","","","Y","","","","","","","","","","","","","","","","","","",NA,"","","","Y","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","",NA,"","","","Y","",4,2,1,1,6,3,3,2,5,5,4,3,4,4,1,4,4,5,4,4,4,4,4,4
"L2 H-off",60,74,0,0,1,0,0,1966,1,1,1,1,0,0,0,0,1,1,4,15,5,14,9,5,3.111111111111111,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,2,1,2,5,2,4,2,5,4,5,1,3,4,1,3,2,3,3,3,5,3,3,3
"L2 H-off",61,71,0,0,1,0,0,1969,3,2,2,1,3,3,2,3,1,2,7,12,6,15,5,7,4.444444444444445,"","","","Y","","","Y","","","","","","","","","","",NA,"","","","","","","","","Y","","","Y","","","","","","","","","","",NA,"","","","","","","","","Y","","","Y","","","","","","","","","","",NA,"","","","","","","","","Y","","","Y","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","Y","","","","","","","","","","",NA,"","","","","",2,3,2,3,4,3,3,2,5,4,6,4,2,6,1,6,6,1,6,6,3,6,2,4
"L2 H-on",62,28,1,1,0,0,0,2011,1,1,0,1,1,1,1,1,1,1,7,11,7,12,8,7,2.6666666666666665,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,4,2,3,3,3,3,3,4,4,4,2,3,6,1,3,2,1,3,4,2,3,3,3
"L0",63,26,0,0,1,0,0,2012,2,1,0,0,2,1,1,0,1,0,6,15,8,14,11,4,4.333333333333333,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","",NA,"","","","Y","",2,1,3,1,3,1,3,4,6,2,6,1,5,3,1,4,5,2,6,5,4,5,4,4
"L2 H-off",64,26,0,0,0,0,0,2015,0,0,0,0,1,1,1,1,2,1,6,12,7,14,6,5,5,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","Y","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,2,2,3,4,3,3,3,5,4,5,2,1,4,1,5,5,4,5,5,5,5,5,6
"L2 H-on",66,27,1,0,1,0,0,2012,2,1,2,1,2,2,1,0,1,1,6,9,7,15,10,5,4,"","Y","","Y","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,3,2,5,4,4,3,3,6,5,4,1,4,4,1,4,4,5,4,4,4,4,3,4
"L2 H-off",67,44,0,0,0,1,0,1996,3,2,2,1,3,1,1,1,1,1,9,14,5,11,8,7,4.888888888888889,"","","","","","Y","","","","","","","","","","","",NA,"","Y","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",3,4,2,2,5,3,3,1,5,4,2,2,3,5,2,5,6,5,5,4,5,5,4,5
"L2 H-on",68,36,0,1,1,0,0,2004,3,2,3,2,3,1,1,1,1,1,4,11,8,13,9,8,4.666666666666667,"","Y","","","","Y","","","","","","","","","","","",NA,"","","","","","","Y","","","","Y","","","","","","","","","","","",NA,"","","","","","","Y","","","","Y","","","","","","","","","","","",NA,"","","","","","","Y","","","","Y","","","","","","","","","","","",NA,"","","","","","","Y","","","","Y","","","","","","","","","","","",NA,"","","","","","","Y","","","","Y","","","","","","","","","","","",NA,"","","","","",1,2,1,3,4,4,4,5,6,4,3,2,4,6,2,5,6,4,5,4,4,5,4,5
"L2 H-on",69,25,0,0,0,0,0,2015,1,1,1,1,2,1,1,1,1,1,11,11,5,13,6,6,4.111111111111111,"","Y","","","Y","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","",3,4,4,3,4,4,4,2,4,5,4,4,3,4,2,5,4,2,5,4,4,5,4,4
"L2 H-on",70,66,1,0,1,0,0,1980,3,1,3,1,1,2,1,1,1,1,7,15,5,16,12,5,2.4444444444444446,"","","","","","","","","Y","","","","","","Y","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,3,2,2,5,2,4,2,5,5,6,1,6,4,1,1,1,5,3,1,2,2,5,2
"L0",71,70,0,0,2,0,0,1970,3,2,2,1,3,3,1,1,2,1,5,16,10,15,4,6,5.111111111111111,"","","","","","","","","","Y","","","","","","","",NA,"","","","","","","","","","","","","","","Y","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","Y","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,1,2,2,6,2,2,5,4,5,6,4,1,5,1,5,5,5,4,6,6,5,5,5
"L2 H-off",72,25,1,0,1,0,0,2016,2,1,2,1,2,0,0,1,1,1,7,13,7,15,8,5,2.3333333333333335,"","","Y","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","Y","","","","","","","","","","","",NA,"","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","","",1,3,3,3,5,3,3,3,5,4,6,4,5,4,1,2,2,2,2,2,2,3,3,3
"L2 H-off",73,59,1,0,1,0,0,1983,2,1,1,1,1,1,1,0,1,0,5,10,6,11,11,5,1.8888888888888888,"Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,2,2,4,3,3,4,3,5,3,3,1,5,3,2,2,3,2,2,1,1,2,1,3
"L2 H-on",74,35,0,0,0,0,0,2005,2,1,1,1,3,2,2,1,1,1,7,14,8,10,4,5,3.3333333333333335,"","","","Y","","Y","","","Y","","","","","","Y","","",NA,"","","","","Mini","","","","","","","","","","","","","","","","","",NA,"","","","","Mini","","","","","","","","","","","","","","","","","",NA,"","","","","Mini","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,3,2,2,5,3,3,4,4,4,2,4,1,3,2,2,5,5,4,5,2,2,2,3
"L2 H-on",75,23,0,0,0,0,0,2017,3,1,2,1,2,0,1,0,1,0,8,16,3,11,6,5,4.888888888888889,"","","","","","","","","","","Y","","","","","","",NA,"Y","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","Y","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Y","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,4,2,1,5,2,5,1,5,5,1,3,2,4,1,6,6,5,5,4,4,6,2,6
"L2 H-on",76,24,0,0,1,0,0,2015,2,1,2,1,3,2,2,1,1,2,7,11,5,14,7,7,5.222222222222222,"","","","","","Y","Y","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","",2,4,1,3,4,4,3,1,4,5,5,2,2,5,2,6,6,5,5,5,6,5,6,3
"L2 H-off",77,23,1,0,1,0,0,2016,3,2,3,2,3,3,3,1,1,1,16,13,6,13,8,6,4.666666666666667,"","Y","","","","Y","","","","","Y","","Y","","","","",NA,"","","","","Mini","","","","","","Y","","","","","Y","","","","","","",NA,"","","","","","","","","","","Y","","","","","Y","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","Y","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",6,5,5,4,5,2,4,3,5,4,4,1,2,5,1,5,5,5,5,5,5,5,3,4
"L2 H-on",78,53,1,1,1,0,0,1986,4,2,2,1,1,1,1,1,1,1,14,14,12,16,2,12,5.555555555555555,"","","","","","","","","","","","","","","","","",NA,"","Y","","","","","","","","","","","","","","","","","","","","",NA,"","Y","","","","","","","","","","","","","","","","","","","","",NA,"","Y","","","","","","","","","","","","","","","","","","","","",NA,"","Y","","","","","Y","","","","","","","","","","","","","","","",NA,"","Y","","","","","Y","","","","","","","","","","","","","","","",NA,"","Y","","","",5,5,4,1,6,5,1,6,6,4,6,6,1,6,6,6,6,6,6,6,5,6,5,4
